,org_id,start_date,churn_date,base_growth,common_base_growth,10/21/15,1/21/16,4/21/16,7/21/16,10/21/16,1/21/17,4/21/17,7/21/17,10/21/17,1/21/18,4/21/18,7/21/18,10/21/18,1/21/19,4/21/19,7/21/19,10/21/19,1/21/20,4/21/20,7/21/20,10/21/20,1/21/21,4/4/21
162,8791,4/5/17,1/5/18,0.032846715,0.411389206,0,0,0,0,0,0,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,8820,12/26/19,8/17/20,0.038461539,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,11,0,0,0
164,8934,5/9/18,,0.017907634,0.411389206,0,0,0,0,0,0,0,0,0,0,0,3,6,6,11,14,14,16,17,17,17,19,19
165,9427,3/30/18,,0.0835604,0.411389206,0,0,0,0,0,0,0,0,0,0,1,65,107,105,106,123,182,74,91,92,92,92,92
166,9634,6/27/18,,0.197628459,0.411389206,0,0,0,0,0,0,0,0,0,0,0,13,36,40,42,65,96,127,156,166,160,187,200
167,9719,2/1/18,,0.060747664,0.411389206,0,0,0,0,0,0,0,0,0,0,9,10,18,34,37,37,38,0,0,0,0,0,0
168,10027,7/16/18,,0.03021148,0.411389206,0,0,0,0,0,0,0,0,0,0,0,3,6,14,13,11,18,22,22,21,28,26,30
169,10120,4/26/19,3/12/20,0.146875,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,47,47,0,0,0,0,0
170,10465,8/14/18,,0.010373444,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,21,21,23,24,22,23,23,20,22,21,10
171,10585,7/1/19,3/10/21,0.01458671,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,11,11,11,10,9,0
172,10592,4/14/19,,0.047156727,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,20,23,30,34,34,34,34
173,10616,11/21/17,1/1/18,0.15,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,10619,4/1/18,,0.181073703,0.411389206,0,0,0,0,0,0,0,0,0,0,20,26,45,44,53,98,127,150,152,167,194,197,199
175,10722,1/8/19,,0.047735618,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,30,25,31,36,37,39,39,39
176,10887,10/21/19,,0.09039548,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,24,25,38,46,48
177,10911,5/7/18,4/10/19,0.080118694,0.411389206,0,0,0,0,0,0,0,0,0,0,0,34,34,39,0,0,0,0,0,0,0,0,0
178,10980,5/25/17,8/2/17,0.014705882,0.411389206,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,11298,11/12/18,,0.766590389,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,42,36,193,219,228,204,305,670
180,11328,4/26/18,,0.311918063,0.411389206,0,0,0,0,0,0,0,0,0,0,0,22,37,58,91,86,114,198,236,240,338,335,335
181,11446,11/13/18,,0.068728522,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,34,38,43,47,48,48,54,60
182,11671,2/28/18,,0.611847922,0.411389206,0,0,0,0,0,0,0,0,0,0,389,453,470,471,497,542,635,668,693,692,692,692,692
