Unnamed: 0,org_id,base_growth,10/21/15,1/21/16,4/21/16,7/21/16,10/21/16,1/21/17,4/21/17,7/21/17,10/21/17,1/21/18,4/21/18,7/21/18,10/21/18,1/21/19,4/21/19,7/21/19,10/21/19,1/21/20,4/21/20,7/21/20,10/21/20,1/21/21,4/4/21,age
323,37033,0.064162754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,22,26,29,34,36,41,
324,37042,0.054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,44,
325,37266,0.560379919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,120,215,288,323,377,383,391,413,
326,37360,1.006896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,106,212,318,404,512,637,730,
327,37755,0.202479339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,48,49,
328,37768,0.097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,12,19,34,33,51,57,76,
329,37784,0.606676343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,39,64,167,362,432,442,418,
330,38003,0.04520548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,25,27,18,24,20,28,33,
331,38160,0.058614565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,14,14,15,32,33,
332,38202,0.104725415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,17,29,48,45,62,82,
333,38322,0.166153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,493,560,562,565,103,101,108,
334,38345,0.04576659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,20,20,20,
335,38399,0.137524558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,47,50,60,70,
