org_id,start_date,churn_date,age,base_growth,common_base_growth,2016,2017,2018,2019,2020,2021
52732,6/27/19,,none,0.443585781,0.411389206,0,0,0,50,205,287
53461,6/21/19,,none,0.035222052,0.411389206,0,0,0,14,16,23
53467,5/7/19,,none,0.035816619,0.411389206,0,0,0,25,25,25
53836,4/25/19,1/28/21,644,0.052877138,0.411389206,0,0,0,31,39,0
54143,5/21/19,,none,0.084795322,0.411389206,0,0,0,6,65,58
54492,3/9/20,,none,0.281329923,0.411389206,0,0,0,0,74,110
54779,4/24/19,4/24/20,366,0.010869565,0.411389206,0,0,0,4,0,0
54862,9/14/20,,none,0.01980198,0.411389206,0,0,0,0,2,4
55735,7/19/20,,none,0.200772201,0.411389206,0,0,0,0,26,52
55977,5/14/19,,none,0.515195369,0.411389206,0,0,0,247,373,356
56049,5/13/19,,none,0.278901734,0.411389206,0,0,0,41,158,193
56504,6/16/20,,none,0.065068493,0.411389206,0,0,0,0,20,19
57004,11/13/19,,none,0.122047244,0.411389206,0,0,0,0,55,62
57267,5/26/19,6/8/20,379,0.244444444,0.411389206,0,0,0,0,0,0
57394,6/25/19,,none,0.371340524,0.411389206,0,0,0,214,210,241
57694,5/20/19,3/24/21,674,0.014858841,0.411389206,0,0,0,30,30,0
58014,9/10/20,,none,0.087378641,0.411389206,0,0,0,0,16,18
